ID,Subject,Topic,Subtopic,Question,Option A,Option B,Option C,Option D,Correct Letter,Explanation,Active
64,RE,Number,,What is 6<sup>2</sup>?,12,18,36,30,C,2,Yes
65,RE,Number,,Which number is prime?,10,12,13,15,C,2,Yes
66,RE,Number,,Which number is odd?,20,18,17,22,C,2,Yes
67,RE,Algebra,,What is 5x + 2x?,7x,10x,x<sup>2</sup>,7,A,0,Yes
68,RE,Algebra,,"If x = 3, what is 4x?",7,12,9,3,B,1,Yes
69,RE,Number,,What is −5 + 2?,−3,3,7,−7,A,0,Yes
70,RE,Number,,What is −8 + 10?,2,−2,18,−18,A,0,Yes
71,RE,Number,,Which number is the largest?,7.2,7.02,7.22,7.202,C,2,Yes
72,RE,Number,,Which number is the smallest?,0.8,0.08,0.18,0.008,D,3,Yes
73,RE,Number,,Which symbol correctly compares 5.06 and 5.6?,>,<,=,≈,B,1,Yes
74,RE,Number,,"Round 18,749 to the nearest 1,000","18,000","19,000","18,500","17,000",B,1,Yes
75,RE,Number,,"Round 64,251 to the nearest 1,000","64,000","65,000","64,500","63,000",A,0,Yes
76,RE,Number,,Estimate 51 + 49,90,100,110,80,B,1,Yes
77,RE,Number,,Estimate 199 × 5,500,1000,1500,2000,B,1,Yes
78,RE,Number,,Write 23/100 as a decimal,0.23,2.3,0.023,23,A,0,Yes
79,RE,Number,,Write 1/5 as a decimal,0.2,0.5,0.25,0.1,A,0,Yes
80,RE,Number,,What is 50% of 80?,20,30,40,50,C,2,Yes
81,RE,Number,,What is 25% of 60?,10,15,20,25,B,1,Yes
82,RE,Number,,Which number is a multiple of 4?,18,20,22,26,B,1,Yes
83,RE,Number,,Which number is a factor of 20?,3,4,6,9,B,1,Yes
84,RE,Number,,What is √36?,5,6,7,8,B,1,Yes
85,RE,Number,,What is 9<sup>2</sup>?,18,27,81,72,C,2,Yes
86,RE,Number,,Which number is prime?,14,15,17,21,C,2,Yes
87,RE,Number,,Which number is odd?,16,18,21,24,C,2,Yes
88,RE,Algebra,,What is 6x + 3x?,9x,18x,x<sup>2</sup>,9,A,0,Yes
89,RE,Algebra,,"If x = 6, what is 2x?",8,12,10,6,B,1,Yes
90,RE,Number,,What is −7 + 3?,−4,4,10,−10,A,0,Yes
91,RE,Number,,What is −2 − 6?,−8,8,−4,4,A,0,Yes
92,RE,Geometry,,What is the area of a rectangle with length 8 and width 5?,13,40,20,30,B,1,Yes
93,RE,Geometry,,What is the area of a triangle with base 12 and height 4?,48,24,16,36,B,1,Yes
94,RE,Geometry,,A circle has radius 5. What is its area?,25π,10π,20π,5π,A,0,Yes
95,RE,Geometry,,A circle has diameter 12. What is its radius?,12,6,24,3,B,1,Yes
96,RE,Number,,Which number is closest to 500?,480,510,499,520,C,2,Yes
97,RE,Number,,"Which number is closest to 1,000?",980,1005,995,1020,C,2,Yes
98,RE,Number,,"Which is greater, 0.75 or ¾?",They are equal,Cannot tell,0.75,¾,A,0,Yes
99,RE,Number,,"Which is greater, 0.2 or ⅕?",They are equal,Cannot tell,0.2,⅕,A,0,Yes
100,RE,Number,,Estimate 302 + 498,700,800,900,600,B,1,Yes
101,RE,Number,,Write 1/2 as a decimal,0.2,0.5,0.05,5,B,1,Yes
102,RE,Number,,Write 3/4 as a decimal,0.8,0.34,0.75,0.25,C,2,Yes
103,RE,Number,,Write 1/5 as a decimal,0.5,0.25,0.1,0.2,D,3,Yes
104,RE,Number,,Write 0.6 as a fraction?,⅖,²⁄₅,⅔,⅙,B,1,Yes
105,RE,Number,,Write 0.25 as a fraction?,⅖,¼,⅕,¾,B,1,Yes
106,RE,Number,,What is 50% as a fraction?,¼,¾,½,⅕,C,2,Yes
107,RE,Number,,What is 25% as a fraction?,½,¼,¾,⅕,B,1,Yes
108,RE,Number,,What is 20% as a fraction?,¼,⅕,½,⅖,B,1,Yes
109,RE,Number,,What is 50% of 90?,30,45,40,50,B,1,Yes
110,RE,Number,,What is 25% of 80?,15,20,10,25,B,1,Yes
111,RE,Number,,What is 10% of 250?,20,25,15,30,B,1,Yes
112,RE,Number,,What is 20% of 60?,10,15,12,20,C,2,Yes
113,RE,Number,,Which is greater?,0.6,'3/5,They are equal,Cannot tell,C,2,Yes
114,RE,Number,,Which is greater?,0.25,'1/5,They are equal,Cannot tell,A,0,Yes
115,RE,Number,,Which fraction is equivalent to ½?,⅔,²⁄₄,¾,⅓,B,1,Yes
116,RE,Number,,Which fraction is equivalent to ¼?,½,¾,²⁄₈,⅔,C,2,Yes
117,RE,Number,,What is 3/4 of 20?,12,10,15,18,A,0,Yes
118,RE,Number,,What is 2/5 of 25?,5,12,10,8,C,2,Yes
119,RE,Number,,What is 0.5 × 20?,5,15,10,20,C,2,Yes
120,RE,Number,,What is 0.2 × 50?,5,10,20,15,B,1,Yes
121,RE,Algebra,,What is 7x − 2x?,5x,9x,x<sup>2</sup>,5,A,0,Yes
122,RE,Algebra,,What is 8x + 4?,12x,12,8x + 4,32,C,2,Yes
123,RE,Algebra,,"If x = 2, what is x + 5?",5,6,7,10,C,2,Yes
124,RE,Algebra,,"If x = 3, what is x<sup>2</sup>?",6,9,3,12,B,1,Yes
125,RE,Algebra,,Solve: x + 4 = 9,5,4,13,6,A,0,Yes
126,RE,Algebra,,Solve: x − 3 = 7,10,4,3,11,A,0,Yes
127,RE,Algebra,,Solve: 2x = 10,2,5,10,20,B,1,Yes
128,RE,Algebra,,Solve: 3x = 12,3,4,6,12,B,1,Yes
129,RE,Algebra,,"What is the next number in the sequence: 2, 4, 6, 8, …?",9,10,11,12,B,1,Yes
130,RE,Algebra,,"What is the next number in the sequence: 5, 10, 15, 20, …?",22,25,30,35,B,1,Yes
131,RE,Geometry,,What is the perimeter of a rectangle with length 6 and width 4?,10,20,24,18,B,1,Yes
132,RE,Geometry,,What is the perimeter of a square with side length 5?,10,15,20,25,C,2,Yes
133,RE,Geometry,,What is the area of a rectangle with length 10 and width 3?,13,30,20,40,B,1,Yes
134,RE,Geometry,,What is the area of a triangle with base 8 and height 6?,48,24,16,30,B,1,Yes
135,RE,Geometry,,What is the area of a circle with radius 4?,16π,8π,12π,4π,A,0,Yes
136,RE,Geometry,,A circle has diameter 14. What is its radius?,7,14,28,3.5,A,0,Yes
137,RE,Geometry,,"What is the volume of a cuboid with length 5, width 4 and height 3?",12,20,60,40,C,2,Yes
138,RE,Geometry,,What is the volume of a cube with side 3?,9,18,27,36,C,2,Yes
139,RE,Geometry,,How many degrees are in a right angle?,45,90,180,360,B,1,Yes
140,RE,Geometry,,How many degrees are in a straight line?,90,180,270,360,B,1,Yes
141,RE,Geometry,,Which angle is acute?,30°,90°,120°,180°,A,0,Yes
142,RE,Geometry,,Which angle is obtuse?,45°,60°,120°,30°,C,2,Yes
143,RE,Geometry,,Convert 100 cm to metres,1,10,0.1,100,A,0,Yes
144,RE,Geometry,,Convert 2.5 m to cm,25,250,2500,2.5,B,1,Yes
145,RE,Geometry,,What is 1 litre in millilitres?,10,100,1000,10000,C,2,Yes
146,RE,Geometry,,What is 500 ml in litres?,0.5,5,50,0.05,A,0,Yes
147,RE,Statistics,,"What is the mean of 2, 4, 6?",3,4,5,6,B,1,Yes
148,RE,Statistics,,"What is the median of 1, 3, 5?",3,5,1,4,A,0,Yes
149,RE,Probability,,What is the probability of getting heads on a fair coin?,0,1,01-Feb,2,C,2,Yes
150,RE,Probability,,Which probability is impossible?,0,1,01-Feb,0.5,A,0,Yes
151,RE,Number,,Which number is the largest?,0.705,0.75,0.57,0.7051,B,1,Yes
152,RE,Number,,Which number is the smallest?,4.01,4.001,4.1,4.0001,D,3,Yes
153,RE,Number,,"Round 6,499 to the nearest 1,000","6,000","7,000","6,500","5,000",A,0,Yes
154,RE,Number,,"Round 72,550 to the nearest 1,000","72,000","73,000","72,500","71,000",B,1,Yes
155,RE,Number,,Estimate 198 + 302,400,500,600,700,B,1,Yes
156,RE,Number,,Estimate 48 × 19,800,900,1000,700,B,1,Yes
157,RE,Number,,Write 3/5 as a decimal,0.6,0.3,0.5,0.8,A,0,Yes
158,RE,Number,,Write 0.8 as a fraction,⅗,⁴⁄₅,⅕,²⁄₅,B,1,Yes
159,RE,Number,,What is 15% of 200?,20,25,30,35,C,2,Yes
160,RE,Number,,What is 5% of 300?,5,10,15,20,C,2,Yes
161,RE,Number,,"Which is greater, 0.4 or ⅖?",They are equal,Cannot tell,0.4,⅖,A,0,Yes
162,RE,Number,,"Which is greater, 0.3 or ¼?",They are equal,Cannot tell,0.3,¼,C,2,Yes
163,RE,Number,,What is ¾ + ¼?,1,¾,½,¼,A,0,Yes
164,RE,Number,,What is ½ + ¼?,¾,½,¼,⅖,A,0,Yes
165,RE,Number,,What is 2/3 of 30?,10,15,20,25,C,2,Yes
166,RE,Number,,What is 3/5 of 50?,20,25,30,35,C,2,Yes
167,RE,Algebra,,What is 2x + 3x + x?,6x,5x,x<sup>2</sup>,4x,A,0,Yes
168,RE,Algebra,,"If x = 4, what is 2x + 3?",11,14,10,7,A,0,Yes
169,RE,Algebra,,Solve: x + 7 = 15,8,7,22,9,A,0,Yes
170,RE,Algebra,,Solve: 4x = 20,4,5,10,6,B,1,Yes
171,RE,Algebra,,"The sequence is 3, 6, 9, 12, … What is the 6th term?",15,18,21,24,B,1,Yes
172,RE,Algebra,,"The sequence is 2, 5, 8, 11, … What is the next term?",12,13,14,15,C,2,Yes
173,RE,Geometry,,What is the perimeter of a rectangle with length 7 and width 3?,10,20,21,14,B,1,Yes
174,RE,Geometry,,What is the area of a rectangle with length 12 and width 5?,60,17,50,70,A,0,Yes
175,RE,Geometry,,What is the area of a triangle with base 10 and height 8?,80,40,18,30,B,1,Yes
176,RE,Geometry,,What is the area of a circle with radius 6?,36π,12π,18π,6π,A,0,Yes
177,RE,Geometry,,A circle has diameter 16. What is its radius?,8,16,32,4,A,0,Yes
178,RE,Geometry,,"What is the volume of a cuboid with length 10, width 2 and height 3?",60,20,30,50,A,0,Yes
179,RE,Geometry,,What is the volume of a cube with side 4?,16,32,64,48,C,2,Yes
180,RE,Geometry,,What is the size of each angle in a triangle?,90°,180°,360°,270°,B,1,Yes
181,RE,Geometry,,What is the sum of angles on a straight line?,90°,180°,360°,270°,B,1,Yes
182,RE,Geometry,,Convert 0.5 km to metres,50,500,5000,5,B,1,Yes
183,RE,Geometry,,Convert 250 cm to metres,2.5,25,0.25,250,A,0,Yes
184,RE,Statistics,,"What is the mean of 4, 6, 8?",5,6,7,8,B,1,Yes
185,RE,Statistics,,"What is the range of 2, 5, 9?",7,5,4,9,A,0,Yes
186,RE,Statistics,,"Which is the mode of 3, 3, 4, 5?",3,4,5,None,A,0,Yes
187,RE,Probability,,A bag has 3 red and 1 blue ball. What is the probability of red?,46113,46115,46054,46085,B,1,Yes
188,RE,Probability,,What is the probability of rolling a 6 on a fair die?,46174,46054,46082,6,A,0,Yes
189,RE,Number,,"Which number is closest to 1,000?",990,1002,995,980,C,2,Yes
190,RE,Number,,Which number is closest to 500?,480,505,499,520,C,2,Yes
191,RE,Number,,Estimate 302 × 4,800,1200,1600,1000,B,1,Yes
192,RE,Number,,Estimate 499 + 201,600,700,800,900,B,1,Yes
193,RE,Number,,"Which is greater, 0.75 or ⅗?",0.75,⅗,They are equal,Cannot tell,A,0,Yes
194,RE,Number,,"Which is greater, 0.2 or ¼?",0.2,¼,They are equal,Cannot tell,B,1,Yes
195,RE,Algebra,,"If x = 2, what is x<sup>2</sup> + 3?",7,5,4,6,A,0,Yes
196,RE,Algebra,,What is 3x × 2?,5x,6x,3x<sup>2</sup>,2x,B,1,Yes
197,RE,Geometry,,What is the area of a rectangle with length 9 and width 4?,36,13,40,45,A,0,Yes
198,RE,Geometry,,What is the area of a triangle with base 6 and height 5?,30,15,20,10,B,1,Yes
199,RE,Probability,,Which probability is certain?,0,1,½,0.5,B,1,Yes
200,RE,Probability,,Which probability is impossible?,1,0,½,0.25,B,1,Yes
201,RE,Geometry,,Which is the correct formula for the area of a circle?,πr²,2πr,πd,r²,A,0,Yes
202,RE,Geometry,,Which is the correct formula for the circumference of a circle?,πr²,2πr,πr,r²,B,1,Yes
203,RE,Geometry,,A circle has a radius of 5 cm. What is its circumference?,10π cm,5π cm,25π cm,20π cm,D,3,Yes
204,RE,Geometry,,A circle has a diameter of 8 cm. What is its circumference?,8π cm,16π cm,4π cm,32π cm,B,1,Yes
205,RE,Geometry,,A circle has a radius of 3 cm. What is its area?,6π cm²,9π cm²,3π cm²,12π cm²,B,1,Yes
206,RE,Geometry,,"What are the coordinates of the point (4, 2)?","x = 2, y = 4","x = 4, y = 2","(2, 4)","(4, 4)",B,1,Yes
207,RE,Geometry,,Which coordinate is written correctly?,"( y, x )","( x, y )",( x + y ),( y − x ),B,1,Yes
208,RE,Number,,A car travels 60 km in 2 hours. What is its speed?,30 km/h,120 km/h,62 km/h,20 km/h,A,0,Yes
209,RE,Number,,A car travels at 50 km/h for 3 hours. How far does it travel?,150 km,53 km,47 km,100 km,A,0,Yes
210,RE,Number,,A car travels 100 km at 50 km/h. How long does it take?,2 hours,5 hours,50 hours,100 hours,A,0,Yes
211,RE,Geometry,,What is the sum of the angles in a triangle?,90°,180°,360°,270°,B,1,Yes
212,RE,Geometry,,Two angles in a triangle are 50° and 60°. What is the third angle?,70°,80°,90°,100°,A,0,Yes
213,RE,Geometry,,Angles on a straight line add up to?,90°,180°,270°,360°,B,1,Yes
214,RE,Geometry,,Two angles on a straight line are 120° and x. What is x?,60°,70°,80°,90°,A,0,Yes
215,RE,Geometry,,Vertically opposite angles are?,Equal,Add to 180°,Add to 360°,Random,A,0,Yes
216,RE,Geometry,,What is the sum of the interior angles of a quadrilateral?,180°,270°,360°,540°,C,2,Yes
217,RE,Geometry,,What is the sum of the interior angles of a pentagon?,360°,540°,720°,900°,B,1,Yes
218,RE,Geometry,,What is the size of each exterior angle of a regular hexagon?,30°,45°,60°,90°,C,2,Yes
219,RE,Geometry,,The sum of the exterior angles of any polygon is?,90°,180°,270°,360°,D,3,Yes
220,RE,Geometry,,A regular polygon has exterior angle 72°. How many sides does it have?,4,5,6,8,B,1,Yes
221,RE,Ratio,,Simplify the ratio 6 to 8,3 to 4,2 to 3,4 to 3,6 to 4,A,0,Yes
222,RE,Ratio,,Simplify the ratio 10 to 15,1 to 2,2 to 3,3 to 2,5 to 10,B,1,Yes
223,RE,Ratio,,Share £60 in the ratio 1 to 2. How much does the larger share get?,20,30,40,50,C,2,Yes
224,RE,Ratio,,Share £90 in the ratio 2 to 1. How much does the smaller share get?,30,45,60,20,A,0,Yes
225,RE,Ratio,,Which ratio is equivalent to 2 to 5?,4 to 10,3 to 10,5 to 2,6 to 5,A,0,Yes
226,RE,Algebra,,Expand 3(x + 4),3x + 4,x + 12,3x + 12,12x + 4,C,2,Yes
227,RE,Algebra,,Expand 5(x + 2),5x + 2,x + 10,5x + 10,10x + 2,C,2,Yes
228,RE,Algebra,,"If x = 3, what is 2x + 5?",11,10,9,8,A,0,Yes
229,RE,Algebra,,"If x = 4, what is x²?",8,12,16,20,C,2,Yes
230,RE,Algebra,,"If x = 2, what is 3x²?",6,12,9,3,B,1,Yes
231,RE,Geometry,,"What are the coordinates of the point (3, 5)?","x = 5, y = 3","x = 3, y = 5","(5, 3)","(3, 3)",B,1,Yes
232,RE,Geometry,,Which coordinate lies on the line y = 3?,"(3, 5)","(2, 3)","(3, 2)","(0, 1)",B,1,Yes
233,RE,Geometry,,Which coordinate lies on the line x = 4?,"(4, 2)","(2, 4)","(3, 4)","(1, 4)",A,0,Yes
234,RE,Geometry,,What is the area of a rectangle with length 8 cm and width 3 cm?,11 cm²,24 cm²,16 cm²,5 cm²,B,1,Yes
235,RE,Geometry,,What is the perimeter of a rectangle with length 7 cm and width 2 cm?,9 cm,18 cm,14 cm,28 cm,B,1,Yes
236,RE,Geometry,,A rectangle has area 20 cm² and width 4 cm. What is its length?,5 cm,4 cm,6 cm,8 cm,A,0,Yes
237,RE,Measure,,How many centimetres are in 2 metres?,20,200,2000,2,B,1,Yes
238,RE,Measure,,How many grams are in 3 kilograms?,300,3000,30,30000,B,1,Yes
239,RE,Measure,,How many minutes are in 2.5 hours?,120,150,180,90,B,1,Yes
240,RE,Measure,,Convert 1500 ml to litres,0.15,1.5,15,150,B,1,Yes
241,RE,Probability,,Which probability is certain?,0,1,½,0.5,B,1,Yes
242,RE,Probability,,Which probability is impossible?,1,0,½,0.25,B,1,Yes
243,RE,Probability,,Which probability is most likely?,0.1,0.9,0.5,0.2,B,1,Yes
244,RE,Probability,,A bag contains only red counters. What is the probability of picking a red counter?,0,1,½,0.25,B,1,Yes
245,RE,Probability,,A fair coin is flipped. What is the probability of getting heads?,1,0,½,0.25,C,2,Yes
246,RE,Statistics,,"What is the mean of 2, 4, 6, 8?",4,5,6,8,B,1,Yes
247,RE,Statistics,,"What is the range of 3, 7, 10, 15?",12,10,8,7,A,0,Yes
248,RE,Statistics,,"What is the mode of 2, 3, 3, 5, 6?",2,3,5,6,B,1,Yes
249,RE,Statistics,,"What is the median of 1, 3, 5, 7, 9?",3,5,7,9,B,1,Yes
250,RE,Statistics,,"What is the median of 2, 4, 6, 8?",4,5,6,7,B,1,Yes
251,RE,Number,,Write 3000 in standard form,3 × 10³,30 × 10²,0.3 × 10⁴,3 × 10²,A,0,Yes
252,RE,Number,,Write 4500 in standard form,4.5 × 10³,45 × 10²,0.45 × 10⁴,4.5 × 10²,A,0,Yes
253,RE,Number,,Write 600 in standard form,6 × 10²,60 × 10¹,0.6 × 10³,6 × 10³,A,0,Yes
254,RE,Number,,Write 7200 in standard form,7.2 × 10³,72 × 10²,0.72 × 10⁴,7.2 × 10²,A,0,Yes
255,RE,Number,,Write 900 in standard form,9 × 10²,90 × 10¹,0.9 × 10³,9 × 10³,A,0,Yes
256,RE,Number,,Write 3 × 10² as an ordinary number,30,300,3000,3,B,1,Yes
257,RE,Number,,Write 4.5 × 10³ as an ordinary number,450,4500,45,45000,B,1,Yes
258,RE,Number,,Write 6 × 10² as an ordinary number,600,60,6000,6,A,0,Yes
259,RE,Number,,Write 7.2 × 10³ as an ordinary number,720,7200,72,72000,B,1,Yes
260,RE,Number,,Write 9 × 10² as an ordinary number,900,90,9000,9,A,0,Yes
261,RE,Algebra,,Solve x + 3 < 10. Which value of x works?,6,7,8,9,A,0,Yes
262,RE,Algebra,,Solve x − 2 > 5. Which value of x works?,6,7,8,3,C,2,Yes
263,RE,Algebra,,Solve 2x < 12. Which value of x works?,5,6,7,8,A,0,Yes
264,RE,Algebra,,Solve x ÷ 2 > 4. Which value of x works?,6,7,8,9,D,3,Yes
265,RE,Algebra,,Solve x + 1 ≤ 5. Which value of x works?,4,5,6,7,A,0,Yes
266,RE,Algebra,,Solve x − 3 ≥ 2. Which value of x works?,4,5,3,6,B,1,Yes
267,RE,Number,,What is −3 + 5?,2,−2,8,−8,A,0,Yes
268,RE,Number,,What is 4 − (−2)?,2,6,−6,−2,B,1,Yes
269,RE,Number,,What is −6 + (−3)?,−9,9,−3,3,A,0,Yes
270,RE,Number,,What is −4 × 2?,−8,8,−6,6,A,0,Yes
271,RE,Number,,What is 3 + 4 × 2?,14,11,10,7,B,1,Yes
272,RE,Number,,What is (3 + 4) × 2?,14,11,10,7,A,0,Yes
273,RE,Number,,What is 10 − 3 × 2?,14,4,7,8,B,1,Yes
274,RE,Number,,Increase 50 by 10%,55,60,65,70,A,0,Yes
275,RE,Number,,Increase 80 by 10%,88,90,85,100,A,0,Yes
276,RE,Number,,Increase 40 by 25%,45,50,55,60,B,1,Yes
277,RE,Number,,Increase 60 by 50%,70,80,90,100,C,2,Yes
278,RE,Number,,Increase 20 by 10%,21,22,23,24,B,1,Yes
279,RE,Ratio,,Simplify the ratio 12 to 18,2 to 3,3 to 2,4 to 5,6 to 9,A,0,Yes
280,RE,Ratio,,Simplify the ratio 15 to 25,3 to 5,5 to 3,15 to 5,1 to 2,A,0,Yes
281,RE,Ratio,,Share £80 in the ratio 3 to 1. How much does the larger share get?,60,40,20,50,A,0,Yes
282,RE,Ratio,,Share £100 in the ratio 2 to 3. How much does the smaller share get?,20,40,60,50,B,1,Yes
283,RE,Ratio,,Which ratio is equivalent to 3 to 4?,6 to 8,4 to 3,9 to 10,3 to 8,A,0,Yes
284,RE,Ratio,,"A recipe uses sugar and flour in the ratio 1 to 2. If there are 100 g of flour, how much sugar is needed?",25 g,50 g,75 g,100 g,B,1,Yes
285,RE,Measure,,How many millimetres are in 3 cm?,3,30,300,3000,B,1,Yes
286,RE,Measure,,Convert 2.5 kg to grams,250,2500,25,25000,B,1,Yes
287,RE,Measure,,How many millimetres are in 3 cm?,3,30,300,3000,B,1,Yes
288,RE,Measure,,Convert 2.5 kg to grams,250,2500,25,25000,B,1,Yes
289,RE,Measure,,A car travels 120 km in 3 hours. What is its speed?,30 km/h,40 km/h,60 km/h,90 km/h,B,1,Yes
290,RE,Measure,,A car travels at 80 km/h for 2 hours. How far does it travel?,120 km,140 km,160 km,180 km,C,2,Yes
291,RE,Measure,,How many seconds are in 5 minutes?,60,120,240,300,D,3,Yes
292,RE,Geometry,,"A point (2, 3) is translated 3 units right. What are the new coordinates?","(5, 3)","(2, 6)","(−1, 3)","(3, 2)",A,0,Yes
293,RE,Geometry,,"A point (4, 1) is translated 2 units up. What are the new coordinates?","(6, 1)","(4, 3)","(2, 1)","(4, −1)",B,1,Yes
294,RE,Geometry,,"A point (3, 2) is reflected in the y-axis. What are the new coordinates?","(−3, 2)","(3, −2)","(−2, 3)","(2, 3)",A,0,Yes
295,RE,Geometry,,A length of 3 cm is enlarged by a scale factor of 2. What is the new length?,5 cm,6 cm,9 cm,12 cm,B,1,Yes
296,RE,Geometry,,A line of 4 cm is enlarged by a scale factor of 3. What is the new length?,7 cm,10 cm,12 cm,16 cm,C,2,Yes
297,RE,Geometry,,A shape has a side of 5 cm. It is enlarged by a scale factor of 2. What is the new side length?,7 cm,8 cm,10 cm,12 cm,C,2,Yes
298,RE,Geometry,,A length of 10 cm is enlarged by a scale factor of 0.5. What is the new length?,2 cm,5 cm,10 cm,20 cm,B,1,Yes
299,RE,Number,,What is 20% of 50?,5,10,15,20,B,1,Yes
300,RE,Number,,What is 25% of 80?,10,15,20,25,C,2,Yes
301,RE,Number,,What is 10% of 90?,9,10,11,8,A,0,Yes
302,RE,Number,,"After a 10% increase, a price is £110. What was the original price?",90,95,100,105,C,2,Yes
